Gender,"Are you currently in a relationship? (married, dating, etc.)","In my future projections, I see myself with children",I intend to have children in the next 5 years?,"I am confident that I have the capabilities to handle children now, if I wanted to","Compared to being childless, having children would give less time to myself","Compared to being childless, having children would make me happier","Compared to being childless, having children would make me less bored","Compared to being childless, having children would put a burden on a relationship with my partner","Compared to being childless, having children would negatively affect my career","Compared to being childless, having children would make me more cautious","Compared to being childless, having children would make me financially insecure","Compared to being childless, having children would increase my hope in humanity","Compared to being childless, having children would provide me less sleep","Compared to being childless, having children would decrease my sexual drive","Compared to being childless, having children would make me live a healthier life","Compared to being childless, having children would give my life more meaning","Compared to being childless, having children would negatively affect my social life","In order for me to have children, I think having a flexible job is...","In order for me to have children, I think financial security is...","In order for me to have children, I think having a suitable living arrangement is...","In order for me to have children, I think being married is...","In order for me to have children, I think having a stable partner is...","In order for me to have children, I think living in an area suitable for children is...","In order for me to have children, I think having achieved success in my career is...","In order for me to have children, I think having relatives able to help me with my children is...",I have a job that gives me time and flexibility to have children,I have an income that would allow me to support children,I have a supportive partner to have children with,I have a family willing to help when I have children,I live in an area that is suitable for children,I have a suitable living arrangement for children,I am confident that I can arrange my working situation to accommodate children,I am confident that I can earn the income necessary to support children,I can find a supportive partner to have children with,I am confident that I can live in an area suitable for children,I am confident that I can offer children a suitable living arrangement,My family expect me to have children,My friends expect me to have children,My colleagues / classmates expect me to have children,Society expects me to have children,"To me, the opinion of my family is...","To me, the opinions of my friends are...","To me, the opinions of my colleagues / classmates are...","To me, the opinion of society is..."
Male,No,6,2,2,6,6,2,5,4,5,2,2,6,4,5,6,5,5,6,5,2,6,6,4,5,1,1,1,6,3,2,6,6,5,6,6,5,2,4,2,5,5,3,2
Female,No,6,5,2,6,2,5,4,5,6,2,2,7,1,5,2,1,5,6,3,1,2,5,1,2,5,1,1,5,7,5,6,5,2,5,6,6,2,5,6,6,2,2,1
Female,Yes,6,2,3,6,6,5,4,6,6,5,5,5,5,4,6,4,7,5,6,2,7,5,6,4,2,2,5,6,3,2,5,6,6,7,5,6,7,6,7,7,6,5,5
Female,No,4,1,2,6,4,4,4,6,6,6,4,6,4,4,5,4,6,6,6,2,6,5,4,6,4,2,4,6,3,1,3,3,4,4,4,6,4,4,5,6,6,3,3
Male,No,6,3,4,6,5,6,3,5,6,5,5,6,6,5,7,5,5,6,5,5,6,6,5,7,4,2,1,7,7,5,6,6,5,7,6,5,5,4,5,6,5,4,4
Female,Yes,6,5,3,6,6,7,5,5,6,2,5,7,6,5,7,2,5,6,7,2,7,5,4,5,2,2,4,7,5,3,4,5,4,5,5,6,5,2,4,5,5,2,2
Female,Yes,7,1,3,7,6,1,4,5,3,5,4,6,5,2,6,3,7,6,7,2,7,6,5,6,4,4,7,7,7,5,6,6,6,6,6,7,6,6,6,7,5,4,4
Female,Yes,7,5,7,7,6,3,2,6,2,4,3,6,5,4,6,4,6,5,6,6,7,5,2,5,6,6,7,6,5,5,2,5,7,6,7,6,5,5,7,7,4,4,4
Male,No,1,1,1,7,2,4,7,7,6,7,2,7,7,5,1,7,6,7,7,2,7,6,3,6,2,1,1,1,6,1,2,2,1,5,2,5,2,2,5,1,3,2,2
Female,No,6,1,6,7,7,4,4,6,6,7,7,7,7,7,7,2,7,7,7,1,7,6,4,7,1,1,1,7,1,1,5,3,1,2,2,5,3,3,7,6,6,3,2
Female,Yes,3,5,1,6,6,3,6,6,7,6,4,6,4,6,7,5,7,7,7,5,7,7,7,5,1,1,7,6,6,1,1,6,7,7,7,7,6,7,7,6,6,5,5
Male,Yes,7,5,2,6,6,5,4,4,4,3,2,7,4,5,6,5,6,7,7,5,7,7,4,5,1,1,7,7,6,3,4,6,7,6,6,7,6,4,5,5,5,5,3
Female,No,6,1,5,7,6,6,5,6,7,4,4,6,6,6,6,6,6,7,6,1,6,5,2,6,5,1,1,7,7,2,7,2,4,7,7,6,5,4,6,6,6,5,5
Female,No,7,4,5,5,7,7,2,3,6,2,7,7,1,6,7,1,6,6,6,5,7,6,5,6,4,3,1,6,5,3,3,6,7,7,7,6,4,5,5,6,5,5,4
Female,Yes,7,7,3,7,7,6,2,7,6,3,4,7,2,4,7,7,7,7,7,2,7,7,2,5,4,1,7,6,7,3,5,6,7,7,7,7,6,4,7,4,2,1,2
Female,No,5,4,5,7,3,7,7,6,5,6,2,7,5,3,6,6,6,6,6,7,7,5,6,7,4,3,1,7,6,2,6,5,6,6,6,7,5,3,7,5,6,6,5
Female,Yes,6,3,5,7,5,1,6,5,5,6,2,4,2,3,2,6,5,6,7,2,7,6,2,5,1,1,2,6,4,1,2,3,5,6,5,5,5,5,7,6,5,4,4
Female,No,6,5,5,6,6,2,5,6,5,6,4,6,3,6,5,4,6,7,6,5,7,7,6,5,4,1,4,7,3,1,6,5,5,6,6,6,4,3,5,5,5,4,4
Female,No,1,1,2,7,1,1,4,7,4,7,1,7,3,2,1,6,7,7,7,1,7,7,4,5,6,1,4,6,2,1,7,2,1,3,3,1,1,1,5,3,3,3,1
Female,Yes,7,1,1,3,5,4,3,4,5,4,4,5,4,4,5,4,6,6,6,7,7,5,5,7,1,1,1,7,1,1,7,6,6,6,7,7,5,5,6,6,6,5,4
Female,No,5,2,1,5,3,1,4,6,7,4,2,6,2,1,2,3,7,7,7,7,7,4,4,6,2,1,1,6,3,1,1,1,5,5,5,7,3,3,1,5,5,1,1
Male,Yes,7,7,7,7,2,2,6,1,5,7,7,6,6,7,7,6,3,7,7,1,3,7,3,7,1,1,7,7,7,4,7,7,7,7,7,6,1,1,5,3,5,1,1
Female,No,4,3,2,5,6,2,4,4,4,4,4,4,4,5,6,3,4,5,4,6,6,5,4,4,1,1,3,4,3,1,3,2,6,6,6,5,4,4,5,6,6,4,4
Female,No,6,4,3,6,7,7,4,4,7,5,5,7,4,6,7,4,6,7,7,4,4,6,5,5,4,1,1,5,5,4,4,6,4,7,7,4,4,4,5,4,5,4,4
Female,No,4,4,5,4,4,4,3,3,4,4,4,6,4,4,4,4,5,5,6,2,2,5,4,3,2,2,2,2,5,4,4,4,4,4,4,4,3,4,4,4,4,2,2
Female,Yes,7,7,7,6,7,4,2,2,5,2,4,2,2,4,1,2,6,7,6,4,6,5,4,5,7,5,7,7,7,7,7,7,7,7,7,1,1,1,1,7,7,5,3
Female,No,6,5,1,7,2,2,6,7,5,7,4,6,4,3,2,7,5,7,7,1,7,6,2,6,1,1,1,7,7,1,1,3,7,3,3,7,7,4,3,1,1,1,1
Male,No,3,1,4,6,3,2,4,5,3,5,2,6,4,3,2,5,3,7,5,2,7,5,6,3,4,2,1,5,5,1,4,6,5,5,6,5,3,4,6,3,4,1,1
Male,Yes,7,7,7,5,7,5,2,4,6,3,5,5,5,6,7,2,5,7,5,2,7,6,3,5,2,3,7,7,5,5,6,3,7,7,7,6,4,4,6,6,5,3,1
Male,Yes,7,7,5,7,6,7,5,7,7,7,7,7,7,7,4,5,6,7,6,7,7,7,7,3,5,4,7,6,7,7,5,6,7,7,6,7,4,4,3,5,2,1,1
Female,No,7,1,1,7,5,4,4,5,4,5,5,7,4,3,5,5,6,7,7,5,7,5,4,7,4,1,1,7,5,1,4,4,3,7,6,7,5,5,4,6,5,3,3
Female,Yes,1,1,5,7,2,1,6,7,7,4,1,7,4,4,4,6,6,7,5,4,6,4,4,6,1,1,5,6,7,3,1,2,2,7,5,5,4,4,6,3,1,1,1
Female,Yes,7,7,3,3,4,6,4,1,5,5,4,6,4,4,7,3,4,5,6,6,7,4,4,5,4,1,5,7,5,3,6,4,6,5,5,4,3,3,4,6,6,3,4
Female,Yes,3,1,1,7,2,5,7,5,6,6,6,6,5,4,3,4,6,7,7,1,7,7,6,7,1,6,2,6,7,7,2,6,6,6,6,5,3,3,7,2,6,4,4
Female,Yes,7,1,7,7,7,4,4,4,5,3,5,5,5,6,6,2,6,3,5,1,6,4,1,6,7,5,7,5,7,7,7,7,7,7,7,5,4,1,4,6,4,2,4
Female,Yes,5,4,5,6,6,5,5,4,6,5,3,6,4,3,6,4,6,6,6,2,7,6,4,6,4,2,6,6,5,2,5,6,6,6,6,6,6,5,5,5,5,3,3
Female,Yes,7,1,7,7,7,4,4,4,5,3,5,5,5,6,6,2,6,3,5,1,6,4,1,6,7,5,7,5,7,7,7,7,7,7,7,5,4,1,4,6,4,2,4
Male,Yes,1,1,1,7,1,1,4,7,1,7,1,7,4,1,1,7,7,7,7,4,7,7,4,2,1,1,7,7,5,1,1,1,5,7,1,6,4,4,6,3,3,3,2
Female,No,6,1,3,6,3,3,4,5,6,6,5,7,6,3,6,5,6,7,6,6,6,5,6,5,7,1,1,6,7,1,4,5,6,6,6,7,7,7,6,5,5,3,5
Male,Yes,4,3,1,7,3,1,7,3,1,7,1,7,5,1,1,4,7,7,7,1,7,3,3,3,6,3,7,7,3,1,7,4,7,7,3,2,1,1,2,1,1,1,1
Female,No,7,4,1,7,4,5,5,5,7,2,4,5,4,6,6,3,4,6,5,5,7,7,1,3,6,1,1,7,7,1,7,7,4,7,7,4,4,4,4,7,6,5,5
Female,Yes,7,5,4,5,5,4,3,1,6,3,2,7,3,6,5,3,5,7,6,1,7,5,3,6,4,1,7,7,6,1,3,4,7,6,4,7,5,1,4,7,5,5,3
Female,No,7,2,2,7,6,7,2,5,6,3,4,7,4,4,6,3,7,7,7,5,7,7,3,5,1,2,1,7,7,4,5,6,7,6,7,5,3,1,6,6,6,1,2
Female,No,1,1,1,7,1,3,4,5,5,7,1,7,1,1,1,7,5,6,7,1,5,6,4,5,6,6,1,7,6,1,6,6,1,6,4,1,1,3,5,5,5,4,4
Female,Yes,2,7,7,6,6,5,4,2,4,4,4,6,4,4,5,3,5,6,6,5,6,6,6,5,5,6,6,7,6,7,6,7,7,7,7,6,6,6,6,5,5,4,3
Male,No,7,7,7,7,7,7,1,4,7,4,7,7,5,5,6,4,4,5,6,7,7,7,6,7,4,3,2,6,6,6,4,5,6,6,6,7,7,7,7,6,4,2,2
Female,Yes,7,7,7,7,7,7,4,5,5,4,4,7,4,7,7,1,7,5,5,4,5,7,5,5,3,5,7,5,7,7,5,7,7,7,7,7,7,7,4,5,5,5,5
Male,Yes,7,7,6,5,7,5,2,1,7,1,7,3,2,7,7,2,5,6,6,2,6,6,5,6,6,6,6,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,5
Female,No,7,5,6,2,7,7,1,2,7,3,6,4,1,6,7,1,5,6,7,2,7,7,6,4,4,6,6,7,7,6,6,6,6,7,7,7,7,6,6,7,6,4,4
Female,Yes,5,4,4,7,6,3,3,4,3,5,5,7,5,5,5,5,6,3,5,4,7,5,3,5,4,2,2,5,5,4,5,3,2,5,5,6,6,7,7,5,5,5,4
